Tiempo (s),Latitud,Longitud,Pitch_K,Roll_K,Tiempo (s),Pitch Accel (°),Pitch Kalman (°),q (°/s),Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s)
13.56460357,25.74466117,-100.2959983,-5.563626515,-0.519376495,13.56460357,-10.56159795,-5.563626515,-70.93129771,13.56460357,2.666953926,-0.519376495,40.23664122
13.67089629,25.74466117,-100.2959983,-3.54756083,1.559151309,13.67089629,-4.309740263,-3.54756083,12.17557252,13.67089629,-1.217102086,1.559151309,23.35114504
13.77687645,25.74466117,-100.2959983,1.062471702,5.668161885,13.77687645,31.66211521,1.062471702,-27.83969466,13.77687645,-10.95582215,5.668161885,71.52671756
13.88315964,25.74466117,-100.2959983,0.068049719,2.196555528,13.88315964,12.07290791,0.068049719,-48.54198473,13.88315964,-9.288891864,2.196555528,-7.045801527
13.99071217,25.74466117,-100.2959983,2.867110819,-2.497356857,13.99071217,9.480655504,2.867110819,-4.076335878,13.99071217,-9.629273561,-2.497356857,-25.18320611
14.09703088,25.74466117,-100.2959983,5.8738284,-7.274077839,14.09703088,11.10324494,5.8738284,-0.847328244,14.09703088,-10.22625331,-7.274077839,-32.64122137
14.20301342,25.74466117,-100.2959983,9.849337152,-7.045364766,14.20301342,12.80742551,9.849337152,12.09923664,14.20301342,-6.348682777,-7.045364766,7.061068702
14.30894256,25.74466117,-100.2959983,11.73075098,-7.928607903,14.30894256,11.05236827,11.73075098,-0.633587786,14.30894256,-5.388195014,-7.928607903,-7.381679389
14.41483879,25.74466117,-100.2959983,12.61805124,-9.257248837,14.41483879,6.126043981,12.61805124,2.145038168,14.41483879,-6.488500699,-9.257248837,-12.57251908
14.52160811,25.74466117,-100.2959983,13.75498037,-9.498507018,14.52160811,9.189669475,13.75498037,1.824427481,14.52160811,-8.104321139,-9.498507018,-0.022900763
14.62858057,25.74466117,-100.2959983,13.2358238,-9.825052152,14.62858057,6.163351942,13.2358238,-7.778625954,14.62858057,-7.389183616,-9.825052152,-3.198473282
14.73537016,25.74466117,-100.2959983,14.10828369,-8.498083692,14.73537016,6.67796305,14.10828369,7.389312977,14.73537016,-6.325630267,-8.498083692,12.3129771
14.84221959,25.74466117,-100.2959983,18.93757621,-6.905187933,14.84221959,16.51414983,18.93757621,35.71755725,14.84221959,-2.10424521,-6.905187933,8.977099237
14.94899297,25.74466117,-100.2959983,18.92762742,-8.078233804,14.94899297,20.13383014,18.92762742,-16.58015267,14.94899297,-1.022740358,-8.078233804,-22.51908397
15.05586982,25.74466117,-100.2959983,16.91549987,-8.677942902,15.05586982,9.126678224,16.91549987,-17.07633588,15.05586982,-3.515656984,-8.677942902,-14.70229008
15.1627636,25.74466117,-100.2959983,16.02669072,-8.143804184,15.1627636,5.31865067,16.02669072,1.015267176,15.1627636,-9.181003129,-8.143804184,7.618320611
15.26953411,25.74466117,-100.2959983,15.20166867,-8.455607875,15.26953411,13.28249213,15.20166867,-14.29007634,15.26953411,0.049124692,-8.455607875,-19.70229008
15.37653089,25.74466117,-100.2959983,14.45825742,-5.963538467,15.37653089,16.003465,14.45825742,-20.26717557,15.37653089,6.474373654,-5.963538467,-3.27480916
15.48354197,25.74466117,-100.2959983,14.54974646,-1.381714915,15.48354197,7.744805615,14.54974646,4.396946565,15.48354197,1.045369598,-1.381714915,34.32061069
15.59039044,25.74466117,-100.2959983,14.63608501,-0.675406135,15.59039044,8.726988351,14.63608501,3.877862595,15.59039044,-4.748345481,-0.675406135,10.94656489
15.69722962,25.74466117,-100.2959983,15.3400236,0.93564628,15.69722962,8.702864592,15.3400236,12.36641221,15.69722962,-2.113833229,0.93564628,18.15267176
15.80417538,25.74466117,-100.2959983,16.0253236,1.955294117,15.80417538,12.45953395,16.0253236,7.213740458,15.80417538,-4.795762311,1.955294117,20.84732824
15.91111398,25.74466117,-100.2959983,16.50851146,2.868525949,15.91111398,16.928206,16.50851146,-2.160305344,15.91111398,1.50379848,2.868525949,10.1221374
16.01796603,25.74466117,-100.2959983,14.49271021,2.071162122,16.01796603,10.19315823,14.49271021,-15.91603053,16.01796603,6.247396123,2.071162122,-16.98473282
16.12480831,25.74466117,-100.2959983,13.25508691,-0.173656968,16.12480831,10.09349284,13.25508691,-10.11450382,16.12480831,2.134881146,-0.173656968,-27.54198473
16.23162651,25.74466117,-100.2959983,16.5751876,1.0350909,16.23162651,14.5552144,16.5751876,30.83206107,16.23162651,-1.731528072,1.0350909,14.7480916
16.33865786,25.74466117,-100.2959983,17.05008167,-0.02429679,16.33865786,13.30364245,17.05008167,8.160305344,16.33865786,0.2047957,-0.02429679,-12.08396947
16.44567823,25.74466117,-100.2959983,17.22617671,-0.106861413,16.44567823,13.74487922,17.22617671,5.557251908,16.44567823,2.908566457,-0.106861413,-8.702290076
16.5525589,25.74466117,-100.2959983,18.33579805,2.508857477,16.5525589,20.02249674,18.33579805,4.366412214,16.5525589,8.159864184,2.508857477,10.47328244
16.65954185,25.74466117,-100.2959983,18.3053804,4.248932306,16.65954185,18.56699907,18.3053804,-3.694656489,16.65954185,5.239929354,4.248932306,10.77099237
16.76663733,25.74466117,-100.2959983,18.78368286,5.466855572,16.76663733,15.67459249,18.78368286,7.93129771,16.76663733,1.686061025,5.466855572,15.45801527
16.87343621,25.74466117,-100.2959983,19.11910314,6.681654457,16.87343621,17.42812166,19.11910314,4.305343511,16.87343621,4.243622422,6.681654457,13.41984733
16.98026299,25.74466117,-100.2959983,19.69830609,6.651390853,16.98026299,20.88671209,19.69830609,1.022900763,16.98026299,4.342848791,6.651390853,2.030534351
17.08707118,25.74466117,-100.2959983,18.84081656,8.339430865,17.08707118,20.91547413,18.84081656,-14.48854962,17.08707118,9.894822929,8.339430865,10.63358779
17.19388938,25.74466117,-100.2959983,18.00602452,9.45186788,17.19388938,26.44783217,18.00602452,-27.78625954,17.19388938,14.79521942,9.45186788,-2.854961832
17.30066419,25.74466117,-100.2959983,19.25517805,9.639601496,17.30066419,22.46581617,19.25517805,0.778625954,17.30066419,12.79973394,9.639601496,-8.099236641
17.40768504,25.74466117,-100.2959983,18.78305519,9.471447046,17.40768504,12.54071096,18.78305519,3.450381679,17.40768504,6.568092484,9.471447046,0.396946565
17.51477361,25.74466117,-100.2959983,17.4299464,10.99716901,17.51477361,13.80170108,17.4299464,-8.900763359,17.51477361,7.016735604,10.99716901,19.00763359
17.62186742,25.74466117,-100.2959983,16.33403426,12.43615016,17.62186742,7.066118133,16.33403426,5.809160305,17.62186742,7.167055667,12.43615016,21.64122137
17.72875643,25.74466117,-100.2959983,15.48101158,18.00403129,17.72875643,4.630019934,15.48101158,13.19847328,17.72875643,15.92218043,18.00403129,54.70992366
17.83523393,25.74466117,-100.2959983,11.86921062,18.07485671,17.83523393,19.02586764,11.86921062,-47.4351145,17.83523393,19.89802064,18.07485671,-4.213740458
17.94234204,25.74466117,-100.2959983,7.271553101,20.3860989,17.94234204,12.19745025,7.271553101,-53.69465649,17.94234204,19.33732114,20.3860989,22.3740458
18.04916573,25.74466117,-100.2959983,5.669582852,22.72159202,18.04916573,11.84612692,5.669582852,-28.96946565,18.04916573,22.65391703,22.72159202,20.65648855
18.15595341,25.74466117,-100.2959983,7.420317229,24.8363585,18.15595341,11.79799997,7.420317229,4.79389313,18.15595341,24.451723,24.8363585,19.32061069
18.26301742,25.74466117,-100.2959983,11.31204321,26.43894268,18.26301742,15.3593004,11.31204321,24.64122137,18.26301742,34.9170008,26.43894268,-3.618320611
18.3700695,25.74466117,-100.2959983,15.69766377,27.67607052,18.3700695,16.49746729,15.69766377,35.02290076,18.3700695,26.4350359,27.67607052,11.19847328
18.47706437,25.74466117,-100.2959983,20.27663309,29.33771708,18.47706437,14.51870008,20.27663309,50.13740458,18.47706437,34.52607967,29.33771708,2.221374046
18.58411026,25.74466117,-100.2959983,17.99107986,31.00606728,18.58411026,14.0671568,17.99107986,-16.59541985,18.58411026,41.79652976,31.00606728,-10.26717557
18.69118667,25.74466117,-100.2959983,20.9016825,31.513567,18.69118667,15.48972893,20.9016825,35.80152672,18.69118667,30.6197796,31.513567,0.702290076
18.79807711,25.74466117,-100.2959983,19.47038126,31.80290445,18.79807711,19.87338603,19.47038126,-15.60305344,18.79807711,31.5575586,31.80290445,-2.488549618
18.90487981,25.74466117,-100.2959983,16.55950633,31.48673433,18.90487981,13.96853633,16.55950633,-23.40458015,18.90487981,33.35719819,31.48673433,-12.45038168
19.01168633,25.74466117,-100.2959983,15.75956467,28.23291672,19.01168633,16.47909902,15.75956467,-9.938931298,19.01168633,26.83968433,28.23291672,-33.61832061
19.11857581,25.74466117,-100.2959983,16.23555785,25.82864235,19.11857581,19.22279695,16.23555785,-2.801526718,19.11857581,21.1821944,25.82864235,-18.69465649
19.22537279,25.74466117,-100.2959983,18.38669962,25.46972646,19.22537279,20.67702061,18.38669962,13.70229008,19.22537279,24.525301,25.46972646,-6.221374046
19.33215022,25.74466117,-100.2959983,21.76998681,24.63697081,19.33215022,25.28492899,21.76998681,22.27480916,19.33215022,27.69626342,24.63697081,-18.70229008
19.43916607,25.74466117,-100.2959983,24.00803658,21.64288015,19.43916607,19.0512046,24.00803658,28.25954198,19.43916607,14.4104117,21.64288015,-18.39694656
19.54623055,25.74466117,-100.2959983,25.77522614,20.55217491,19.54623055,14.02219405,25.77522614,38.7480916,19.54623055,10.07277975,20.55217491,7.541984733
19.65320945,25.74466117,-100.2959983,25.28263037,22.20543851,19.65320945,17.75790187,25.28263037,11.32061069,19.65320945,26.1054494,22.20543851,5.778625954
19.7603116,25.74466117,-100.2959983,23.55814205,24.99916741,19.7603116,12.17435062,23.55814205,9.259541985,19.7603116,30.76571437,24.99916741,11.82442748
19.86724329,25.74466117,-100.2959983,24.63883959,31.10955461,19.86724329,12.64384283,24.63883959,39,19.86724329,41.84081509,31.10955461,31.41984733
19.97414613,25.74466117,-100.2959983,21.17893144,32.18692585,19.97414613,13.60143154,21.17893144,-10.06870229,19.97414613,45.14703761,32.18692585,-22.33587786
20.08099842,25.74466117,-100.2959983,17.59178678,34.24878926,20.08099842,14.27556319,17.59178678,-18.49618321,20.08099842,36.10101831,34.24878926,7.091603053
20.18787479,25.74466117,-100.2959983,12.53194463,37.97343776,20.18787479,20.69391026,12.53194463,-55.22900763,20.18787479,37.57226784,37.97343776,26.92366412
20.29471087,25.74466117,-100.2959983,7.642671579,41.15976366,20.29471087,18.39506336,7.642671579,-60.57251908,20.29471087,43.20176968,41.15976366,16.93129771
20.40177631,25.74466117,-100.2959983,7.009930414,43.3538309,20.40177631,17.193417,7.009930414,-21.76335878,20.40177631,50.50269376,43.3538309,-3.251908397
20.50888562,25.74466117,-100.2959983,5.962559751,42.81872341,20.50888562,15.45315156,5.962559751,-26.19847328,20.50888562,44.26519352,42.81872341,-18.49618321
20.61586642,25.74466117,-100.2959983,3.123471691,41.34500491,20.61586642,12.42864238,3.123471691,-44.48854962,20.61586642,39.44315834,41.34500491,-20.6870229
20.7229414,25.74466117,-100.2959983,-1.370019574,39.56698356,20.7229414,4.715335307,-1.370019574,-55.2519084,20.7229414,33.83270913,39.56698356,-15.28244275
20.82977152,25.74466117,-100.2959983,-2.934983347,40.04406925,20.82977152,0.560682884,-2.934983347,-23.76335878,20.82977152,29.33157356,40.04406925,17.16030534
20.93659639,25.74466117,-100.2959983,-4.888289901,36.28795034,20.93659639,8.722169638,-4.888289901,-48.94656489,20.93659639,32.18991978,36.28795034,-33.84732824
21.04343963,25.74466117,-100.2959983,-2.041050521,35.5121194,21.04343963,2.839129238,-2.041050521,11.19847328,21.04343963,29.28219549,35.5121194,-0.748091603
21.15048409,25.74466117,-100.2959983,-2.788231444,33.03775799,21.15048409,1.16043572,-2.788231444,-21.51908397,21.15048409,25.80947403,33.03775799,-13.34351145
21.2576251,25.74466117,-100.2959983,-3.272566859,30.00199874,21.2576251,-3.079609078,-3.272566859,-12.1221374,21.2576251,20.57802218,30.00199874,-12.60305344
21.36464691,25.74466117,-100.2959983,-3.613388556,30.12210434,21.36464691,-9.108955656,-3.613388556,0.847328244,21.36464691,27.74285251,30.12210434,4.312977099
21.47231627,25.74466117,-100.2959983,-3.979831148,30.73045506,21.47231627,-8.489937422,-3.979831148,-0.290076336,21.47231627,30.41946172,30.73045506,5.122137405
21.58067775,25.74466117,-100.2959983,-3.306574893,32.99499634,21.58067775,-0.135817173,-3.306574893,-5.450381679,21.58067775,34.07094554,32.99499634,17.6870229
21.68798614,25.74466117,-100.2959983,-2.000025308,35.36351367,21.68798614,3.591059828,-2.000025308,-5.190839695,21.68798614,34.95089059,35.36351367,21.29770992
21.79533005,25.74466117,-100.2959983,-1.062990419,37.22243284,21.79533005,4.450341663,-1.062990419,-9.595419847,21.79533005,33.54661514,37.22243284,23.64122137
21.90257978,25.74466117,-100.2959983,3.014168667,37.361609,21.90257978,6.07927311,3.014168667,23.53435115,21.90257978,33.73643583,37.361609,8.198473282
22.00940394,25.74466117,-100.2959983,3.28850264,37.52581864,22.00940394,3.229934015,3.28850264,-6.045801527,22.00940394,36.08986715,37.52581864,4.687022901
22.11684322,25.74466117,-100.2959983,4.211105619,34.42440356,22.11684322,5.770801392,4.211105619,-3.305343511,22.11684322,34.17698877,34.42440356,-27.97709924
22.22385502,25.74466117,-100.2959983,5.034107521,32.50705304,22.22385502,4.037143985,5.034107521,0.687022901,22.22385502,37.49585292,32.50705304,-27.57251908
22.33107233,25.74466117,-100.2959983,5.891452788,29.9492582,22.33107233,3.892473763,5.891452788,3.282442748,22.33107233,32.77379535,29.9492582,-30.15267176
22.43805456,25.74466117,-100.2959983,6.163157165,26.34289854,22.43805456,3.10669016,6.163157165,0.389312977,22.43805456,28.47327232,26.34289854,-39.09160305
22.54543161,25.74466117,-100.2959983,2.833348818,23.32928042,22.54543161,-2.419065667,2.833348818,-28.11450382,22.54543161,26.31524677,23.32928042,-35.73282443
22.65280294,25.74466117,-100.2959983,5.943606205,24.26801479,22.65280294,-7.100598481,5.943606205,48.92366412,22.65280294,18.61099297,24.26801479,18.25954198
22.75993133,25.74466117,-100.2959983,1.24039641,26.73173901,22.75993133,-8.886767654,1.24039641,-27.16793893,22.75993133,28.81079374,26.73173901,17.75572519
22.86734128,25.74466117,-100.2959983,-1.288275909,26.56988875,22.86734128,-4.884333856,-1.288275909,-18.30534351,22.86734128,26.59822765,26.56988875,-2.916030534
22.97481155,25.74466117,-100.2959983,-0.651458081,29.97128247,22.97481155,9.860936759,-0.651458081,-16.96183206,22.97481155,24.76919528,29.97128247,40.96183206
23.08180285,25.74466117,-100.2959983,4.942645333,32.30690261,23.08180285,22.9826035,4.942645333,11.61832061,23.08180285,38.26576974,32.30690261,9.221374046
23.18862271,25.74466117,-100.2959983,4.766827901,30.23333885,23.18862271,29.69724339,4.766827901,-60.09923664,23.18862271,32.69428075,30.23333885,-25.98473282
23.29564714,25.74466117,-100.2959983,0.842228008,26.61938806,23.29564714,13.72009163,0.842228008,-75.38167939,23.29564714,24.12181161,26.61938806,-30.69465649
23.40295172,25.74466117,-100.2959983,4.443731015,27.07471888,23.40295172,10.19411089,4.443731015,7.106870229,23.40295172,16.09679319,27.07471888,25.29770992
23.50956869,25.74466117,-100.2959983,1.793461067,28.06182878,23.50956869,-4.862840032,1.793461067,-26.95419847,23.50956869,24.79657652,28.06182878,16.60305344
23.61659265,25.74466117,-100.2959983,2.060701718,28.01466093,23.61659265,-7.680742087,2.060701718,8.022900763,23.61659265,26.92793884,28.01466093,3.167938931
23.72324419,25.74466117,-100.2959983,0.790806533,26.77235777,23.72324419,-9.390566208,0.790806533,-3.557251908,23.72324419,24.66557796,26.77235777,-5.694656489
23.83007741,25.74466117,-100.2959983,-2.826508446,25.16316178,23.83007741,-9.472606457,-2.826508446,-30.77862595,23.83007741,21.28112352,25.16316178,-5.083969466
23.93710637,25.74466117,-100.2959983,-2.176886098,25.35526518,23.93710637,-2.707945789,-2.176886098,-2.030534351,23.93710637,20.81714786,25.35526518,13.91603053
24.04393172,25.74466117,-100.2959983,-1.12876789,24.47061832,24.04393172,6.419550178,-1.12876789,-14.78625954,24.04393172,24.57180303,24.47061832,-4.763358779
