Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s),,,,
50.64768481,4.058787118,2.074254398,12.77099237,,,,
50.754987,4.506901684,1.218802822,-14.82442748,,,,
50.86227131,0.969279851,1.54850051,3.480916031,,,,
50.96970534,7.040256673,3.560421276,10.92366412,,,,
51.07682562,-1.575647044,-0.56213654,-37.70229008,,,,
51.1838305,4.996035256,1.146334654,6.877862595,,,,
51.29131603,14.65069109,6.178191776,27.60305344,,,,
51.39882851,5.170856866,6.337052106,0.213740458,,,,
51.5063715,9.911046164,7.052429014,-2.618320611,,,,
51.61385846,8.469126679,10.06065048,27.24427481,,,,
51.72088957,3.209486318,8.94037505,-2.351145038,,,,
51.82831597,11.31664473,9.316620737,-3.114503817,,,,
51.93546057,7.467904273,11.42297368,24.78625954,,,,
52.04291987,3.178311063,11.6337761,17.22137405,,,,
52.15002131,0.217357757,10.71662477,12.5648855,,,,
52.25724554,2.220417371,9.108365276,0.832061069,,,,
52.36457825,2.832111373,9.087412218,15.70229008,,,,
52.47187424,2.359926218,6.469098082,-11.65648855,,,,
52.57909608,2.324091591,5.348042535,0.938931298,,,,
52.68639731,-1.979305665,-0.754303385,-48.70992366,,,,
52.79363823,3.972054248,0.427601271,9.770992366,,,,
52.90053177,-3.483271469,-0.579726217,1.877862595,,,,
53.00793839,-0.844840288,-0.236044136,10.3740458,,,,
53.11506724,-5.044267633,-0.648284595,11.19083969,,,,
53.22263741,0.690100312,1.153837432,24.6870229,,,,
53.32997561,-5.224579289,0.151981779,8.694656489,,,,
53.4373219,3.057403427,-0.018035324,0.198473282,,,,
53.54468989,6.627834789,0.404104612,-1.34351145,,,,
53.65168762,1.833312296,-0.026251728,-1.625954198,,,,
53.75888085,4.165088069,-2.025941453,-25.54198473,,,,
53.86587238,1.33991977,-2.54401913,-8.229007634,,,,
53.97279382,3.605830007,-1.517703056,2.870229008,,,,
54.07981467,8.171530966,0.39218086,4.648854962,,,,
54.18689251,5.137220322,0.588313641,-6.297709924,,,,
54.29396176,4.512862089,-0.115357506,-15.77862595,,,,
54.40097475,7.215827011,2.37470787,12.67938931,,,,
54.50801659,7.467435765,3.813604741,4.328244275,,,,
54.61505532,-0.664776159,5.122890802,21.76335878,,,,
54.72207856,-2.08256528,5.342938297,16.11450382,,,,
54.8288939,-0.619819205,5.411609171,13.33587786,,,,
54.93590021,8.632452108,6.091274844,2.664122137,,,,
55.04295206,1.61626921,9.273870794,46.46564885,,,,
55.14974928,30.69402436,18.0017063,58.05343511,,,,
55.2567935,25.5282658,15.57843001,-43.13740458,,,,
55.36380887,-2.235577015,8.853757673,-42.08396947,,,,
55.47086024,7.032947465,4.528193721,-45.32824427,,,,
55.57792997,-1.898224232,3.525839994,1.496183206,,,,
55.68491054,-3.406279302,-2.202609097,-50.21374046,,,,
55.79192758,-8.9305901,-5.538695841,-23.15267176,,,,
55.89902949,0.684368561,-0.736871651,43.69465649,,,,
56.00591588,0.568161295,-4.762261953,-47.04580153,,,,
56.11271715,8.173739649,1.102001447,40.72519084,,,,
56.21972561,-0.26736054,0.714697578,-2.648854962,,,,
56.32638788,-0.064449669,0.436808801,-2.41221374,,,,
56.43337488,0.099447075,0.245459292,-2.236641221,,,,
56.54044271,-0.391914505,-0.011604667,-2.335877863,,,,
56.64725494,-0.076578115,-0.163026086,-2.229007634,,,,
56.75455666,0.713885547,-0.15300943,-2.34351145,,,,
56.86117077,-0.428600562,-0.328467797,-2.259541985,,,,
56.96817565,-0.08774232,-0.43854444,-2.564885496,,,,
57.07523561,-0.632245156,-0.607219189,-2.404580153,,,,
57.18242526,-0.300841444,-0.675606618,-2.282442748,,,,
57.28943324,-0.161768968,-0.691267087,-2.183206107,,,,
57.39640737,-0.917364353,-0.840816544,-2.297709924,,,,
57.50339103,-0.179469357,-0.834447016,-2.328244275,,,,
57.61047935,-0.282756097,-0.832261328,-2.282442748,,,,
57.71729231,0.147745365,-0.742563175,-2.27480916,,,,
57.82429457,-0.058795033,-0.699686889,-2.381679389,,,,
57.93133473,-0.164556617,-0.658356046,-2.221374046,,,,
58.03844595,-0.459780233,-0.658211957,-2.099236641,,,,
58.14548326,-0.448782829,-0.678079524,-2.389312977,,,,
58.25254488,0.772174377,-0.464886907,-2.328244275,,,,
58.35957932,-0.505057311,-0.49772392,-2.320610687,,,,
58.46669912,-0.118196386,-0.451030811,-2.27480916,,,,
58.57381988,-0.394509196,-0.46269934,-2.34351145,,,,
58.68086648,28.42650881,6.039375955,12.63358779,,,,
58.78788304,-0.200206801,3.968259924,-17.41221374,,,,
58.89495206,0.616888996,3.530750686,-3.885496183,,,,
59.00197887,0.044588146,3.245277852,-1.290076336,,,,
59.1090107,0.220480362,2.82814696,-3.091603053,,,,
59.21600127,10.20462244,3.313585593,-13.64122137,,,,
59.3230691,-9.802942101,1.282979183,-1.618320611,,,,
59.43012547,3.215814789,1.410471288,-5.694656489,,,,
59.53709841,2.799984157,-5.824927129,-88.83969466,,,,
59.64407825,-26.95809637,-21.20480702,-137.2366412,,,,
59.75112081,-6.823838774,-14.16562641,46.58778626,,,,
59.85825753,-11.36010878,-10.73102961,27.77099237,,,,
59.96529818,-14.57330425,-6.813837874,47.01526718,,,,
