Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s),,,,
9.958046436,1.510614531,2.687478657,-1.687022901,,,,
10.06463194,1.928573211,2.420863414,-3.167938931,,,,
10.17225718,2.186594872,2.070158526,-5.099236641,,,,
10.27823114,0.985443984,1.282698022,-8.305343511,,,,
10.38418245,0.558392072,0.525145512,-8.755725191,,,,
10.49023509,0.135700277,-0.018413023,-6.984732824,,,,
10.59645295,-0.480708423,-0.224874472,-2.992366412,,,,
10.70275617,-0.280425327,-0.331924873,-2.633587786,,,,
10.80873394,-0.592796018,-0.446925088,-2.312977099,,,,
10.91465211,-1.06091169,-0.926419727,-5.748091603,,,,
11.02056265,0.6566564,-0.633834985,-1.374045802,,,,
11.12647128,-0.014728992,-0.793473782,-4.847328244,,,,
11.23236847,-1.533677082,-1.249544037,-5.610687023,,,,
11.33832216,1.791286213,-0.86158708,-3.641221374,,,,
11.44431281,-0.495729823,-0.831783861,-2.778625954,,,,
11.55057216,-0.599634907,-0.655476216,-0.885496183,,,,
11.6568377,-0.730127757,-0.602628366,-1.687022901,,,,
11.76281905,-1.256797634,-0.641431045,-1.519083969,,,,
11.86875844,-7.126500619,-4.213645773,-30.00763359,,,,
11.974684,8.097081233,-1.953726166,-1.122137405,,,,
12.08062339,-0.504375228,-2.041204895,-7.732824427,,,,
12.18654275,-0.152337016,-3.050806166,-19.55725191,,,,
12.29245877,-12.98133571,-9.444837741,-57.69465649,,,,
12.39839268,-15.69995465,-11.95007696,-19.83206107,,,,
12.50448608,-16.04301691,-12.90273263,-5.671755725,,,,
12.61077166,-11.90148481,-11.74432821,8.717557252,,,,
12.71672392,-10.78356366,-9.97816023,15.78625954,,,,
12.82262564,-6.179359607,-10.49698719,-16.14503817,,,,
12.92852736,-16.30774536,-10.53800584,8.320610687,,,,
13.03444266,-12.31409685,-9.613624543,12.25954198,,,,
13.14035439,-15.47314871,-11.01550243,-5.534351145,,,,
13.24628377,-11.13709078,-10.58981243,4.549618321,,,,
13.35221553,-2.148878721,-8.748045395,3.282442748,,,,
13.45832014,-8.313324197,-5.619024711,33.2519084,,,,
13.56460357,2.666953926,-0.519376495,40.23664122,,,,
13.67089629,-1.217102086,1.559151309,23.35114504,,,,
13.77687645,-10.95582215,5.668161885,71.52671756,,,,
13.88315964,-9.288891864,2.196555528,-7.045801527,,,,
13.99071217,-9.629273561,-2.497356857,-25.18320611,,,,
14.09703088,-10.22625331,-7.274077839,-32.64122137,,,,
14.20301342,-6.348682777,-7.045364766,7.061068702,,,,
14.30894256,-5.388195014,-7.928607903,-7.381679389,,,,
14.41483879,-6.488500699,-9.257248837,-12.57251908,,,,
14.52160811,-8.104321139,-9.498507018,-0.022900763,,,,
14.62858057,-7.389183616,-9.825052152,-3.198473282,,,,
14.73537016,-6.325630267,-8.498083692,12.3129771,,,,
14.84221959,-2.10424521,-6.905187933,8.977099237,,,,
14.94899297,-1.022740358,-8.078233804,-22.51908397,,,,
15.05586982,-3.515656984,-8.677942902,-14.70229008,,,,
15.1627636,-9.181003129,-8.143804184,7.618320611,,,,
15.26953411,0.049124692,-8.455607875,-19.70229008,,,,
15.37653089,6.474373654,-5.963538467,-3.27480916,,,,
15.48354197,1.045369598,-1.381714915,34.32061069,,,,
15.59039044,-4.748345481,-0.675406135,10.94656489,,,,
15.69722962,-2.113833229,0.93564628,18.15267176,,,,
15.80417538,-4.795762311,1.955294117,20.84732824,,,,
15.91111398,1.50379848,2.868525949,10.1221374,,,,
16.01796603,6.247396123,2.071162122,-16.98473282,,,,
16.12480831,2.134881146,-0.173656968,-27.54198473,,,,
16.23162651,-1.731528072,1.0350909,14.7480916,,,,
16.33865786,0.2047957,-0.02429679,-12.08396947,,,,
16.44567823,2.908566457,-0.106861413,-8.702290076,,,,
16.5525589,8.159864184,2.508857477,10.47328244,,,,
16.65954185,5.239929354,4.248932306,10.77099237,,,,
16.76663733,1.686061025,5.466855572,15.45801527,,,,
16.87343621,4.243622422,6.681654457,13.41984733,,,,
16.98026299,4.342848791,6.651390853,2.030534351,,,,
17.08707118,9.894822929,8.339430865,10.63358779,,,,
17.19388938,14.79521942,9.45186788,-2.854961832,,,,
17.30066419,12.79973394,9.639601496,-8.099236641,,,,
17.40768504,6.568092484,9.471447046,0.396946565,,,,
17.51477361,7.016735604,10.99716901,19.00763359,,,,
17.62186742,7.167055667,12.43615016,21.64122137,,,,
17.72875643,15.92218043,18.00403129,54.70992366,,,,
17.83523393,19.89802064,18.07485671,-4.213740458,,,,
17.94234204,19.33732114,20.3860989,22.3740458,,,,
18.04916573,22.65391703,22.72159202,20.65648855,,,,
18.15595341,24.451723,24.8363585,19.32061069,,,,
18.26301742,34.9170008,26.43894268,-3.618320611,,,,
18.3700695,26.4350359,27.67607052,11.19847328,,,,
18.47706437,34.52607967,29.33771708,2.221374046,,,,
18.58411026,41.79652976,31.00606728,-10.26717557,,,,
18.69118667,30.6197796,31.513567,0.702290076,,,,
18.79807711,31.5575586,31.80290445,-2.488549618,,,,
18.90487981,33.35719819,31.48673433,-12.45038168,,,,
19.01168633,26.83968433,28.23291672,-33.61832061,,,,
19.11857581,21.1821944,25.82864235,-18.69465649,,,,
19.22537279,24.525301,25.46972646,-6.221374046,,,,
19.33215022,27.69626342,24.63697081,-18.70229008,,,,
19.43916607,14.4104117,21.64288015,-18.39694656,,,,
19.54623055,10.07277975,20.55217491,7.541984733,,,,
19.65320945,26.1054494,22.20543851,5.778625954,,,,
19.7603116,30.76571437,24.99916741,11.82442748,,,,
19.86724329,41.84081509,31.10955461,31.41984733,,,,
19.97414613,45.14703761,32.18692585,-22.33587786,,,,
20.08099842,36.10101831,34.24878926,7.091603053,,,,
20.18787479,37.57226784,37.97343776,26.92366412,,,,
20.29471087,43.20176968,41.15976366,16.93129771,,,,
20.40177631,50.50269376,43.3538309,-3.251908397,,,,
20.50888562,44.26519352,42.81872341,-18.49618321,,,,
20.61586642,39.44315834,41.34500491,-20.6870229,,,,
20.7229414,33.83270913,39.56698356,-15.28244275,,,,
20.82977152,29.33157356,40.04406925,17.16030534,,,,
20.93659639,32.18991978,36.28795034,-33.84732824,,,,
21.04343963,29.28219549,35.5121194,-0.748091603,,,,
21.15048409,25.80947403,33.03775799,-13.34351145,,,,
21.2576251,20.57802218,30.00199874,-12.60305344,,,,
21.36464691,27.74285251,30.12210434,4.312977099,,,,
21.47231627,30.41946172,30.73045506,5.122137405,,,,
21.58067775,34.07094554,32.99499634,17.6870229,,,,
21.68798614,34.95089059,35.36351367,21.29770992,,,,
21.79533005,33.54661514,37.22243284,23.64122137,,,,
21.90257978,33.73643583,37.361609,8.198473282,,,,
22.00940394,36.08986715,37.52581864,4.687022901,,,,
22.11684322,34.17698877,34.42440356,-27.97709924,,,,
22.22385502,37.49585292,32.50705304,-27.57251908,,,,
22.33107233,32.77379535,29.9492582,-30.15267176,,,,
22.43805456,28.47327232,26.34289854,-39.09160305,,,,
22.54543161,26.31524677,23.32928042,-35.73282443,,,,
22.65280294,18.61099297,24.26801479,18.25954198,,,,
22.75993133,28.81079374,26.73173901,17.75572519,,,,
22.86734128,26.59822765,26.56988875,-2.916030534,,,,
22.97481155,24.76919528,29.97128247,40.96183206,,,,
23.08180285,38.26576974,32.30690261,9.221374046,,,,
23.18862271,32.69428075,30.23333885,-25.98473282,,,,
23.29564714,24.12181161,26.61938806,-30.69465649,,,,
23.40295172,16.09679319,27.07471888,25.29770992,,,,
23.50956869,24.79657652,28.06182878,16.60305344,,,,
23.61659265,26.92793884,28.01466093,3.167938931,,,,
23.72324419,24.66557796,26.77235777,-5.694656489,,,,
23.83007741,21.28112352,25.16316178,-5.083969466,,,,
23.93710637,20.81714786,25.35526518,13.91603053,,,,
24.04393172,24.57180303,24.47061832,-4.763358779,,,,
24.15074229,25.25194735,22.52193365,-20.16793893,,,,
24.25785708,25.70633672,21.84100648,-11.17557252,,,,
24.3645401,24.79829811,22.01598547,-1.709923664,,,,
24.47155404,24.6632594,21.94663253,-4.442748092,,,,
24.57863784,23.49290918,21.81437444,-3.427480916,,,,
24.68539524,23.55606856,22.17383108,1.435114504,,,,
24.7925303,25.29898009,23.08013604,4.557251908,,,,
24.89933801,26.48347801,24.03806601,4.114503817,,,,
25.00640917,29.13176431,27.26703165,26.09923664,,,,
25.11320686,28.57999291,28.86946693,14.8778626,,,,
25.22024894,29.05618559,28.29905723,-7.519083969,,,,
25.32729411,27.59368188,28.62985843,4.442748092,,,,
25.43443108,28.26536917,26.83562048,-20.25954198,,,,
25.54149842,22.68640773,22.19080323,-45.22900763,,,,
25.64831996,18.044695,17.83375677,-42.09160305,,,,
25.75535583,18.67767712,17.46684203,-6.923664122,,,,
25.86224461,20.34967399,18.0269311,-0.778625954,,,,
25.96903825,21.20608475,19.52399493,8.839694656,,,,
26.07611394,21.68246236,19.93109088,-1.839694656,,,,
26.18317151,23.63984404,20.54872324,-2.977099237,,,,
26.29028153,22.87757581,20.79097264,-5.045801527,,,,
26.3972888,18.61501578,23.87327783,36.12977099,,,,
26.50429749,29.97013891,29.50778315,49.32061069,,,,
26.61130476,29.84110588,31.59752662,20.65648855,,,,
26.71839428,31.89887262,32.37929759,6.167938931,,,,
26.82517505,38.33218044,34.36853038,8.41221374,,,,
26.93215466,36.04877258,34.26381409,-7.480916031,,,,
27.03895378,38.66268238,37.02521347,19.25954198,,,,
27.14604688,33.6330379,35.32444984,-15.96183206,,,,
27.25307465,29.79292303,32.53305918,-23.61832061,,,,
27.36013365,47.73715631,35.82342842,3.65648855,,,,
27.46716142,40.17446156,29.67539215,-84.03053435,,,,
27.57398438,21.29115522,22.76544247,-68.67938931,,,,
27.68102455,25.16945273,24.51948554,8.236641221,,,,
27.78817606,30.9202063,26.11618242,-1.923664122,,,,
27.89499736,26.14169105,27.07362681,2.900763359,,,,
28.0020864,23.25399845,28.04603632,11.20610687,,,,
28.10913682,16.30309535,25.85619966,-7.633587786,,,,
28.21615863,21.09277609,25.40666193,-0.20610687,,,,
28.32317495,28.92931437,23.54140252,-32.48854962,,,,
28.43025136,24.91209813,19.19262538,-57.46564885,,,,
28.53729177,16.93518377,12.25069943,-80.6870229,,,,
28.64430451,8.75668877,8.549516761,-42.18320611,,,,
28.75136328,2.030491043,6.755264268,-14.28244275,,,,
28.85818863,0.091211034,5.832484706,-3.099236641,,,,
28.96523905,0.711622011,3.698790339,-18.9389313,,,,
29.07229042,-3.878524503,2.378889391,-3.992366412,,,,
29.17959237,-4.823372905,1.583935606,2.480916031,,,,
29.28651214,-3.52726889,1.883621889,11.93129771,,,,
29.39367366,0.960261076,2.624625304,9.488549618,,,,
29.50091386,1.211934979,2.503717742,0.992366412,,,,
29.6084156,4.624383214,3.484700795,6.557251908,,,,
29.71569037,5.361471523,3.570400254,-3.366412214,,,,
29.82269168,1.257616016,2.783677956,-5.061068702,,,,
29.92956519,1.59318807,2.466680297,-1.717557252,,,,
30.03642225,5.343597127,3.301106657,3.229007634,,,,
30.1432879,3.237125038,2.056269994,-14.87022901,,,,
30.25010085,2.633778457,1.450014794,-9.129770992,,,,
30.35730672,5.3261366,1.413656761,-9.648854962,,,,
30.46465659,1.691464349,1.065247133,-6.572519084,,,,
30.57186604,-0.801181633,-1.310506086,-25.41221374,,,,
30.67870951,-8.957713607,-5.627376573,-35.70992366,,,,
30.7855041,-6.087128985,-4.953538102,7.030534351,,,,
30.89232349,-2.497537098,-4.283500183,1.221374046,,,,
30.99910998,-3.380047521,-2.899330339,12.20610687,,,,
31.10593677,-3.841281799,-2.510633833,4.732824427,,,,
31.21274662,-0.062635427,-2.28252323,-3.801526718,,,,
31.31972432,-5.812859159,-3.205070948,-5.099236641,,,,
