Tiempo (s),Pitch Accel (°),Pitch Kalman (°),q (°/s)
0.06750082969665527,-5.07450517353281,-4.926712858396758,-0.9770992366412212
0.1746959686279297,-4.945452108146664,-5.001983120559462,-1.0916030534351144
0.2812039852142334,-5.699683029400386,-5.431649080400395,-1.0
0.388103723526001,-5.95727149552061,-5.797650875573144,-0.8854961832061069
0.7459232807159424,-5.63627490632025,-5.84860504930774,-1.0229007633587786
0.8524866104125977,-5.604870958171082,-5.895907164769184,-1.0458015267175573
0.9603374004364014,-6.619116679846503,-6.300217566846786,-1.1221374045801527
1.0673620700836182,-5.70999589585007,-6.15536340048758,-1.0381679389312977
1.1744956970214844,-5.999200830517588,-6.176673997619494,-1.1297709923664123
1.2815978527069092,-5.723527586496105,-6.1057083035629285,-1.0763358778625953
1.3886725902557373,-6.113624396505148,-6.167323888860145,-1.1450381679389312
1.4951438903808594,-4.92069321013963,-5.898170084308443,-1.0610687022900764
1.6020021438598633,-6.416155149612993,-6.006615388780023,-0.5343511450381679
1.7440211772918701,-5.573448430352538,-5.928364824090428,-0.8854961832061069
1.8505890369415283,-5.9552897024278995,-5.969775816032713,-1.0458015267175573
1.9580934047698975,-5.932289651069703,-5.973298673964819,-0.8702290076335878
2.065032720565796,-5.75420437479859,-5.905481851881334,-0.4885496183206106
2.170959711074829,-6.187753426195276,-5.958682575370372,-0.7175572519083969
2.2769103050231934,-5.449109602438885,-5.858456384714129,-0.7404580152671756
2.3828327655792236,-6.015290425519051,-5.899711510633091,-0.9389312977099237
2.4887564182281494,-5.399142871452823,-5.838558450637941,-1.1908396946564885
2.594686985015869,-6.027281866967903,-5.894731208292528,-1.1221374045801527
2.7006189823150635,-5.236762512565489,-5.80163008806326,-1.1908396946564885
2.8068103790283203,-5.283312929174104,-5.613874469716366,0.09923664122137404
2.912748098373413,-5.922277764329558,-5.665619277609673,-0.9847328244274809
3.0186843872070312,-6.098101983821307,-5.948596196029808,-3.3435114503816794
3.1246070861816406,-5.73920263357565,-6.03715792786075,-2.4122137404580153
3.231813907623291,-6.321637682977508,-6.189623570205674,-2.16793893129771
3.337805986404419,-5.736670140694378,-6.203220827786608,-2.0839694656488548
3.443779706954956,-6.7927306606993385,-6.318101103081323,-1.183206106870229
3.5497653484344482,-6.359498126310153,-6.1077576939853016,1.5190839694656488
3.6557514667510986,-5.92382239776322,-5.838694425972986,1.7786259541984732
3.761704921722412,-4.810954997604476,-5.545601821511616,0.3282442748091603
3.867659091949463,-6.93273071614532,-5.637600986050338,0.7404580152671756
3.9735684394836426,-5.512232308219591,-5.566301267321819,-0.2442748091603053
4.079501390457153,-6.019927494725028,-5.561535030756105,0.17557251908396945
4.185412645339966,-5.87184767915449,-4.557834439833349,11.465648854961833
4.291314601898193,-5.389594513830669,-4.8822152816681985,-2.4732824427480917
4.397289752960205,-5.241799465991984,-4.564931897694914,4.038167938931298
4.503460168838501,-5.3284340133053805,-5.1031090177255205,-4.8320610687022905
4.609533309936523,-8.726505055822274,-6.8423750370526175,-12.664122137404581
4.7155396938323975,-10.596890050126134,-11.48279587784525,-45.396946564885496
4.822568416595459,-22.096829932829614,-10.813531967808466,29.61832061068702
4.929620265960693,-14.223238596476039,-8.167796938044216,39.404580152671755
5.036595582962036,-10.158801650445376,-15.898790167207862,-80.42748091603053
5.143863201141357,-14.94650186272205,-16.268221790134035,-3.8091603053435112
5.250925302505493,-21.9493600354862,-15.033349185024687,27.748091603053435
5.3578040599823,-10.088801059683849,-8.437096620893142,68.66412213740458
5.464839935302734,-15.322221957164638,-9.31880145570154,7.9465648854961835
5.5718772411346436,-7.738806231963532,-9.632875073595724,-1.7786259541984732
5.678927421569824,-6.951240587567949,-9.408547869636669,1.7099236641221376
5.785699844360352,-7.752125159506039,-9.213810795072032,2.984732824427481
5.892771005630493,-7.305787206411613,-9.13022611914447,0.900763358778626
5.999774694442749,-7.380888782602646,-9.146636340828396,-0.2748091603053435
6.106883525848389,-6.189369714911348,-8.170087279177007,8.206106870229007
6.2136945724487305,-6.678600100324745,-7.745978293551657,4.519083969465649
6.320796489715576,-5.4333321836559785,-7.333341151919492,2.4885496183206106
6.427634954452515,-4.898109607728357,-6.984913556772103,1.1221374045801527
6.534756422042847,-5.321343019380405,-6.5407109883835135,3.381679389312977
6.64186954498291,-4.252126860488429,-6.44048114601509,-2.068702290076336
6.748881578445435,-3.9022634404458545,-6.110318904958068,-0.40458015267175573
6.855700969696045,-4.765533540125208,-5.965417703057789,-0.5114503816793893
6.962569713592529,-4.547423353483539,-5.705840122706506,0.40458015267175573
7.0695812702178955,-4.961083022827514,-5.393258090910341,2.1603053435114505
7.176383018493652,-3.9951408272165225,-5.076991412296809,0.7709923664122137
7.283433198928833,-3.377056287082881,-4.651352411992006,1.183206106870229
7.390563011169434,-4.279159704359538,-4.894226559592709,-3.969465648854962
7.497400760650635,-2.8561860612914995,-4.689528521022965,-2.4122137404580153
7.604426860809326,-4.190283563571869,-4.582831923142477,-0.7404580152671756
7.71124005317688,-3.760497823741174,-4.298420843395332,0.5419847328244275
7.818331241607666,-3.7677232905596725,-4.112153247484989,-0.08396946564885496
7.9252002239227295,-4.5702578542659005,-4.214283263311183,-1.4122137404580153
8.03202509880066,-2.787248559510175,-3.81855384550156,0.46564885496183206
8.138929605484009,-2.9023470185892117,-3.635778189373161,-1.1221374045801527
8.245990991592407,-3.7236982444170774,-4.010307331599255,-5.564885496183206
8.352815866470337,-5.198784000696118,-7.34816867644409,-37.11450381679389
8.459901809692383,-13.226598597932446,-9.417469137355388,-13.50381679389313
8.567017316818237,2.0768782162100243,-6.347565817293567,10.183206106870228
8.674103736877441,-5.512783932292178,-5.998566290332224,-0.6335877862595419
8.78113603591919,-4.244420430332335,-5.249445729946975,1.9389312977099238
8.88796877861023,-4.672748364344959,-4.778683404856213,0.9847328244274809
8.995061874389648,-4.659428728293217,-3.8015663207395343,7.694656488549618
9.102179527282715,-2.182774143092005,-2.8175806203572487,4.8396946564885495
9.209216594696045,-1.3258143008318775,-0.9263637466966023,15.305343511450381
9.316279649734497,-0.40446411585426406,-0.5736557541057832,-0.1450381679389313
9.426624059677124,-0.25271532602772023,4.084183130142475,49.282442748091604
9.533490896224976,2.3928810910924243,4.5508404921441405,6.290076335877862
9.640119552612305,2.0737828575873474,4.427390635164824,1.8931297709923667
9.746160745620728,2.5843372269211584,4.141217735646935,-0.8015267175572519
9.852094650268555,2.2759357103123485,3.695734535553468,-2.282442748091603
9.958046436309814,2.4755791641643707,2.6138253491966315,-10.664122137404581
10.064631938934326,1.2553770619855804,1.5140888530987924,-10.549618320610687
10.1722571849823,-1.4422002440998771,0.09458196487034966,-10.816793893129772
10.278231143951416,-1.5374449214713877,-1.4961534945962975,-15.045801526717558
10.384182453155518,-2.9802513248912836,-2.8951741787489795,-13.374045801526718
10.490235090255737,-4.87341866435278,-3.855134173006381,-7.2748091603053435
10.596452951431274,-4.482399577220537,-4.131935343539178,-2.0076335877862594
10.70275616645813,-4.668298787093873,-4.3657757095046685,-1.6259541984732824
10.808733940124512,-4.4959189696835855,-4.512687451663643,-1.4045801526717556
10.914652109146118,-4.9702802695176835,-5.035114591999575,-5.0534351145038165
11.020562648773193,-4.92755417544915,-5.102432031129484,-1.0
11.126471281051636,-4.278168076402699,-5.081340167671176,-1.4961832061068703
11.232368469238281,-0.5359628308951107,-4.437550833231161,-2.16793893129771
11.338322162628174,-18.28990052252147,-6.9629984602966095,-1.4732824427480915
